Geography,hs_2010,hs_2011,hs_2012,hs_2013,hs_2014,hs_2015,hs_2016,hs_2017,college_2010,college_2011,college_2012,college_2013,college_2014,college_2015,college_2016,college_2017
Atlanta,0.868,0.883,0.887,0.895,0.894,0.896,0.906,0.905,0.448,0.472,0.474,0.484,0.489,0.483,0.505,0.492
Boston,0.858,0.84,0.848,0.856,0.847,0.859,0.862,0.88,0.443,0.427,0.433,0.452,0.465,0.466,0.484,0.482
Charlotte,0.866,0.889,0.888,0.877,0.882,0.88,0.894,0.898,0.388,0.402,0.403,0.411,0.413,0.419,0.441,0.45
Chicago,0.805,0.807,0.813,0.822,0.828,0.841,0.844,0.848,0.333,0.335,0.345,0.351,0.36,0.366,0.385,0.388
Denver,0.838,0.859,0.86,0.863,0.855,0.858,0.872,0.884,0.409,0.43,0.447,0.444,0.443,0.471,0.474,0.493
Houston,0.743,0.754,0.758,0.772,0.765,0.777,0.785,0.788,0.283,0.287,0.297,0.314,0.304,0.309,0.325,0.327
Los Angeles,0.739,0.743,0.753,0.746,0.761,0.764,0.765,0.776,0.307,0.308,0.315,0.314,0.323,0.326,0.328,0.344
Miami,0.682,0.696,0.729,0.733,0.748,0.744,0.763,0.798,0.219,0.217,0.234,0.25,0.236,0.257,0.266,0.301
New York,0.796,0.797,0.796,0.804,0.805,0.809,0.815,0.819,0.334,0.341,0.347,0.357,0.359,0.368,0.37,0.373
Philadelphia,0.8,0.808,0.814,0.822,0.826,0.831,0.832,0.853,0.226,0.236,0.243,0.252,0.26,0.274,0.286,0.283
Phoenix,0.81,0.799,0.805,0.812,0.811,0.802,0.806,0.821,0.249,0.26,0.267,0.267,0.274,0.266,0.279,0.284
San Francisco,0.859,0.859,0.866,0.868,0.881,0.876,0.879,0.883,0.509,0.521,0.536,0.53,0.542,0.552,0.572,0.578
Seattle,0.928,0.923,0.936,0.937,0.928,0.947,0.944,0.949,0.56,0.562,0.577,0.598,0.589,0.621,0.631,0.626
St. Louis,0.815,0.839,0.819,0.833,0.851,0.858,0.87,0.882,0.285,0.282,0.304,0.319,0.32,0.347,0.341,0.371
Washington,0.874,0.872,0.886,0.901,0.902,0.898,0.905,0.902,0.501,0.525,0.53,0.551,0.55,0.567,0.568,0.573
